,v_Vel,v_Acc,Space_Headway,actual_space
0,8.348472000000001,0.0,17.056608,12.484608
1,8.348472000000001,-0.7376160000000009,16.361664,11.789664000000002
2,7.610856,-0.015239999999999476,16.270224000000002,11.698224000000003
3,7.595616000000001,-1.3563600000000005,16.264128,11.692128
4,6.239256,0.201168,16.559784,11.987784
5,6.440424,-0.3505199999999995,16.800576,12.228576
6,6.089904000000001,0.006095999999999435,16.736568,12.164568
7,6.096,-0.018287999999999194,16.300704,11.728704
8,6.077712000000001,-0.7437120000000004,15.782544,11.210544000000002
9,5.3340000000000005,-0.7437120000000004,15.456408,10.884408
10,4.590288,-0.018288000000000082,15.526512,10.954512
11,4.572,0.0,15.782544,11.210544000000002
12,4.572,-0.03352799999999956,16.008096000000002,11.436096000000004
13,4.5384720000000005,0.03047999999999984,15.486888000000002,10.914888
14,4.568952,0.0,14.75232,10.180320000000002
15,4.568952,-0.0213359999999998,13.993368,9.421368
16,4.5476160000000005,-1.3472160000000004,13.237464,8.665464
17,3.2004,-0.1524000000000001,12.338304,7.766303999999999
18,3.048,0.0030480000000001617,12.057888000000002,7.485888000000002
19,3.051048,-0.37490400000000035,11.99388,7.421880000000001
20,2.676144,-0.359664,12.0396,7.4676
21,2.31648,-0.5333999999999999,12.158472000000002,7.586472000000001
22,1.78308,-0.08839200000000003,12.307824000000002,7.735824000000002
23,1.694688,0.6522720000000002,12.240768,7.668767999999999
24,2.34696,-0.006096000000000323,11.865864,7.293864
25,2.340864,0.0,11.393424,6.821424000000001
26,2.340864,-0.16763999999999957,10.917936,6.345936000000001
27,2.1732240000000003,0.16763999999999957,10.488168,5.916168
28,2.340864,-0.3017519999999996,10.034016,5.462016000000001
29,2.0391120000000003,-0.8717280000000003,9.561576,4.9895760000000005
30,1.167384,0.009144000000000041,9.552432,4.980432
31,1.176528,0.0,9.665208000000002,5.0932080000000015
32,1.176528,-0.23164799999999997,9.49452,4.92252
33,0.94488,-0.94488,8.897112000000002,4.325112000000002
34,0.0,0.0,8.811768,4.239768000000001
35,0.0,0.0,9.546336,4.974336
36,0.0,0.0,10.3632,5.791200000000001
37,0.0,0.0,11.183112,6.611111999999999
38,0.0,0.0,11.972544,7.400544000000001
39,0.0,0.0,12.7254,8.153400000000001
40,0.0,1.246632,13.545312,8.973312
41,1.246632,0.3870960000000001,14.103096000000004,9.531096000000002
42,1.633728,0.771144,14.301216000000002,9.729216
43,2.404872,0.6431279999999999,15.175992,10.603992000000002
44,3.048,-0.006095999999999879,15.7734,11.2014
45,3.041904,0.12801600000000013,16.9926,12.4206
46,3.1699200000000003,1.4447520000000003,18.300192,13.728192
47,4.6146720000000006,0.6339839999999999,19.220688000000003,14.648688000000003
48,5.248656,-0.009144000000000041,19.345656,14.773656000000004
49,5.239512,0.2895599999999998,19.46148,14.889480000000002
50,5.529072,0.5699760000000005,20.037552,15.465552
51,6.099048000000001,0.7345680000000003,20.692872,16.120872000000002
52,6.833616000000001,0.5273039999999991,21.372576,16.800576000000003
53,7.36092,0.20421600000000062,21.982176000000003,17.410176000000003
54,7.565136000000001,0.051815999999997864,22.567392,17.995392000000002
55,7.616951999999999,0.021336000000001576,23.170896,18.598896
